,Name,Replacement,Frequency
371,Addis,proper_name_surname,0.001
372,Addison,proper_name_surname,0.007
373,Addleman,proper_name_surname,0.0
374,Addo,proper_name_surname,0.0
375,Adduci,proper_name_surname,0.0
376,Addy,proper_name_surname,0.001
377,Ade,proper_name_surname,0.0
378,Adebisi,proper_name_surname,0.0
379,Adee,proper_name_surname,0.0
380,Adel,proper_name_surname,0.0
381,Adela,proper_name_male,0.014
382,Adelaida,proper_name_male,0.004
383,Adelaide,proper_name_male,0.008
384,Adelblue,proper_name_surname,0.0
385,Adele,proper_name_male,0.025
386,Adelgren,proper_name_surname,0.0
387,Adelia,proper_name_male,0.003
388,Adelina,proper_name_male,0.007
389,Adeline,proper_name_male,0.018
390,Adelizzi,proper_name_surname,0.0
391,Adell,proper_name_male,0.005
392,Adella,proper_name_male,0.003
393,Adelle,proper_name_male,0.003
394,Adelman,proper_name_surname,0.001
395,Adelmann,proper_name_surname,0.0
396,Adelmund,proper_name_surname,0.0
397,Adels,proper_name_surname,0.0
398,Adelsberg,proper_name_surname,0.0
399,Adelson,proper_name_surname,0.001
400,Adelsperger,proper_name_surname,0.0
401,Adelstein,proper_name_surname,0.0
402,Adema,proper_name_surname,0.0
403,Aden,proper_name_surname,0.001
404,Adena,proper_name_male,0.001
405,Adens,proper_name_surname,0.0
406,Ader,proper_name_surname,0.0
407,Aderhold,proper_name_surname,0.0
408,Aderholdt,proper_name_surname,0.0
409,Aderholt,proper_name_surname,0.001
410,Aderman,proper_name_surname,0.0
411,Aderson,proper_name_surname,0.0
412,Ades,proper_name_surname,0.0
413,Adessa,proper_name_surname,0.0
414,Adesso,proper_name_surname,0.0
415,Adey,proper_name_surname,0.0
416,Adeyemo,proper_name_surname,0.0
417,Adger,proper_name_surname,0.001
418,Adham,proper_name_surname,0.0
419,Adhami,proper_name_surname,0.0
420,Adi,proper_name_surname,0.0
421,Adib,proper_name_surname,0.0
422,Adickes,proper_name_surname,0.0
423,Adie,proper_name_surname,0.0
424,Adil,proper_name_surname,0.0
425,Adina,proper_name_male,0.003
426,Adinolfi,proper_name_surname,0.0
427,Adjei,proper_name_surname,0.0
428,Adjutant,proper_name_surname,0.0
429,Adkerson,proper_name_surname,0.0
430,Adkin,proper_name_surname,0.0
431,Adkins,proper_name_surname,0.029
432,Adkinson,proper_name_surname,0.001
433,Adkison,proper_name_surname,0.001
434,Adkisson,proper_name_surname,0.001
435,Adlam,proper_name_surname,0.0
436,Adle,proper_name_surname,0.0
437,Adleman,proper_name_surname,0.0
438,Adler,proper_name_surname,0.005
439,Adley,proper_name_surname,0.0
440,Adling,proper_name_surname,0.0
441,Adloff,proper_name_surname,0.0
442,Admas,proper_name_surname,0.0
443,Admire,proper_name_surname,0.0
444,Adner,proper_name_surname,0.0
445,Adney,proper_name_surname,0.0
446,Adolf,proper_name_surname,0.0
447,Adolfo,proper_name_male,0.014
448,Adolfson,proper_name_surname,0.0
449,Adolph,proper_name_male,0.011
450,Adolphe,proper_name_surname,0.0
451,Adolphsen,proper_name_surname,0.0
452,Adolphson,proper_name_surname,0.0
453,Adolphus,proper_name_surname,0.0
454,Adomaitis,proper_name_surname,0.0
455,Adon,proper_name_surname,0.0
456,Adonis,proper_name_surname,0.0
457,Adorno,proper_name_surname,0.002
458,Adragna,proper_name_surname,0.0
459,Adria,proper_name_male,0.003
460,Adrian,proper_name_male,0.069
461,Adriana,proper_name_male,0.025
462,Adriance,proper_name_surname,0.0
463,Adriane,proper_name_male,0.004
464,Adrianna,proper_name_male,0.004
465,Adrianne,proper_name_male,0.007
466,Adriano,proper_name_surname,0.0
